
11,879|1616,378|0,033|365|1197|64550|64550|931,589|257|282|221|1,601675E+07|SC-Acacia-it08|clear
16,186|1348,347|0,031|297|861|47718|47718|618,762|224|273|232|1,418726E+07|SC-Acacia-it08|clear
13,344|1378,261|0,028|363|1083|57748|57748|724,749|241|281|231|1,564355E+07|SC-Acacia-it08|clear
14,843|1107,598|0,032|275|766|44744|44744|554,099|235|257|238|1,437401E+07|SC-Acacia-it08|clear
14,825|503,039|0,035|103|258|20316|20316|180,062|219|244|234|1,250402E+07|SC-Acacia-it08|clear
12,858|643,101|0,032|153|395|26902|26902|272,707|212|284|172|1,035578E+07|SC-Acacia-it08|clear
13,011|297,595|0,028|69|230|15879|15879|130,601|155|204|142|4490040|SC-Acacia-it08|clear
13,382|536,84|0,028|137|370|22620|22620|215,66|146|258|170|6403560|SC-Acacia-it08|clear
13,459|1026,265|0,028|269|776|43605|43605|510,394|253|259|229|1,500568E+07|SC-Acacia-it08|clear
13,204|362,989|0,028|92|271|18330|18330|158,185|118|236|146|4065808|SC-Acacia-it08|clear
12,576|963,024|0,029|209|670|38494|38494|442,739|208|258|198|1,062547E+07|SC-Acacia-it08|clear
13,47|1521,85|0,029|314|1065|56501|56501|750,682|259|260|216|1,454544E+07|SC-Acacia-it08|clear
13,227|951,697|0,029|234|654|38020|38020|448,456|224|275|209|1,28744E+07|SC-Acacia-it08|clear
13,658|1243,6|0,03|308|1017|55972|55972|699,534|240|271|260|1,69104E+07|SC-Acacia-it08|clear
13,308|1906,238|0,031|439|1340|70917|70917|956,028|256|278|257|1,829018E+07|SC-Acacia-it08|clear
20,462|2998,68|0,042|930|2513|127399|127399|2365,93|205|278|200|1,1398E+07|SC-Acacia-it08|clear
13,158|706,934|0,033|296|715|41471|41471|529,554|163|248|166|6710384|SC-Acacia-it06|clear
12,984|847,634|0,034|373|893|50120|50120|699,738|164|246|170|6858480|SC-Acacia-it06|clear
12,485|2767,753|0,043|960|2484|124858|124858|2249,382|204|278|206|1,168267E+07|SC-Acacia-it08|clear
